stage,path,artifact_number,exact_selector,left_pair_03_09,right_exit_pair_06_13,seed_role_pairs,seed_tuple_spaced,role_ab_named,role_e_named,selector_named,permission_named,admission_named,provenance_named
construction_ledger,labs/g900_observatory/notes/g900_full60_endpoint_pair_hit_inspection_001.md,1,false,true,true,false,false,false,false,false,false,false,false
construction_ledger,labs/g900_observatory/notes/g900_full60_hit_pair_g15_subgraph_audit_001.md,1,false,true,true,false,false,false,false,false,false,false,false
construction_ledger,labs/g900_observatory/notes/g900_full60_package_support_audit_001.md,1,false,true,true,false,false,false,false,false,false,false,false
construction_ledger,labs/g900_observatory/notes/g900_full60_phase_support_classification_001.md,1,false,true,true,false,false,false,false,false,false,true,false
construction_ledger,labs/g900_observatory/notes/g900_full60_transition_package_anatomy_001.md,1,false,true,true,false,false,false,false,true,false,true,false
construction_ledger,labs/g900_observatory/notes/g900_g60_true_antipode_sheet_wrap_probe_001.md,1,false,true,false,false,false,false,false,false,false,true,false
construction_ledger,labs/g900_observatory/notes/g900_global_local_return_cell_oriented_census_001.md,1,false,true,true,false,false,false,false,false,false,false,false
construction_ledger,labs/g900_observatory/notes/g900_global_return_cell_label_free_selector_audit_001.md,1,false,true,true,false,false,false,false,true,false,false,false
construction_ledger,labs/g900_observatory/notes/g900_local_non_pair_identity_transition_length_law_001.md,1,false,true,true,false,false,false,false,false,false,false,false
construction_ledger,labs/g900_observatory/notes/g900_p7_hinge_return_pocket_source_provenance_audit_001.md,1,false,true,true,false,false,false,false,false,false,false,true
construction_ledger,labs/g900_observatory/notes/g900_p7_interior_package_source_feature_audit_001.md,1,false,true,false,false,false,false,false,false,false,false,false
construction_ledger,labs/g900_observatory/notes/g900_p7_local_return_cell_closure_law_audit_001.md,1,false,true,true,false,false,false,false,false,false,false,false
construction_ledger,labs/g900_observatory/notes/g900_p7_local_return_cell_grammar_audit_001.md,1,false,true,true,false,false,false,false,false,false,false,false
construction_ledger,labs/g900_observatory/notes/g900_p7_rhythm_partition_uniqueness_audit_001.md,1,false,true,true,false,false,false,false,false,false,false,false
construction_ledger,labs/g900_observatory/notes/g900_p7_transition_length_selector_audit_001.md,1,false,true,false,false,false,false,false,true,false,false,false
construction_ledger,labs/g900_observatory/notes/g900_p7_transition_weight_rhythm_audit_001.md,1,false,true,true,false,false,false,false,false,false,false,false
construction_ledger,labs/g900_observatory/notes/g900_pair_root_alignment_spectrum_audit_001.md,1,false,true,false,false,false,false,false,false,false,true,false
construction_ledger,labs/g900_observatory/notes/g900_pair_root_triplet_03_09_root9_audit_001.md,1,false,true,false,false,false,false,false,false,false,true,false
construction_ledger,labs/g900_observatory/notes/g900_phase3_other_ladder_comparison_001.md,1,false,true,false,false,false,false,false,false,false,true,false
construction_ledger,labs/g900_observatory/notes/g900_predicted_frame_registry_03_09_vs_03_06_audit_001.md,1,false,true,false,false,false,false,false,false,false,true,false
construction_ledger,labs/g900_observatory/notes/g900_registry_admission_condition_03_09_vs_03_06_001.md,1,false,true,false,false,false,false,false,false,false,true,false
construction_ledger,labs/g900_observatory/notes/g900_return_cell_carrier_incidence_packet_scout_002.md,2,false,true,true,false,false,false,false,false,false,false,false
construction_ledger,labs/g900_observatory/notes/g900_return_cell_channel_admission_criteria_001.md,1,false,true,true,false,false,false,false,false,false,true,false
construction_ledger,labs/g900_observatory/notes/g900_return_cell_channel_preview_boundary_audit_001.md,1,false,true,true,false,false,false,false,false,false,false,false
construction_ledger,labs/g900_observatory/notes/g900_return_cell_conserved_packet_scout_001.md,1,false,true,true,false,false,false,false,false,false,false,false
construction_ledger,labs/g900_observatory/notes/g900_return_cell_cycle_event_contract_001.md,1,false,true,true,false,false,false,false,false,false,true,false
construction_ledger,labs/g900_observatory/notes/g900_return_cell_packet_successor_rule_scout_003.md,3,false,true,true,false,false,false,false,false,true,true,false
construction_ledger,labs/g900_observatory/notes/g900_return_cell_selector_field_origin_audit_001.md,1,false,true,true,false,false,false,false,true,false,false,false
construction_ledger,labs/g900_observatory/notes/g900_return_cell_transition_length_origin_audit_001.md,1,false,true,true,false,false,false,false,false,false,false,false
construction_ledger,labs/g900_observatory/notes/g900_return_cell_transport_theorem_note_011.md,11,false,true,true,false,false,false,false,false,true,true,false
construction_ledger,labs/g900_observatory/notes/g900_six_nine_answering_outside_fork_audit_001.md,1,false,true,false,false,false,false,false,true,false,true,false
construction_ledger,labs/g900_observatory/notes/g900_six_nine_explicit_half_turn_witness_search_001.md,1,false,true,false,false,false,false,false,false,false,true,false
construction_ledger,labs/g900_observatory/notes/g900_six_nine_from_limit_23_source_audit_001.md,1,false,true,false,false,false,false,false,false,false,true,false
construction_ledger,labs/g900_observatory/notes/g900_six_nine_inside_outside_return_audit_001.md,1,false,true,false,false,false,false,false,false,false,true,false
construction_ledger,labs/g900_observatory/notes/g900_six_nine_limit_transition_23_24_boundary_probe_001.md,1,false,true,true,false,false,false,false,false,false,true,false
construction_ledger,labs/g900_observatory/notes/g900_six_nine_native_fork_law_probe_001.md,1,false,true,false,false,false,false,false,false,false,true,true
construction_ledger,labs/g900_observatory/notes/g900_six_nine_sheet_wrap_candidate_inspection_001.md,1,false,true,false,false,false,false,false,false,false,true,false
construction_ledger,labs/g900_observatory/notes/g900_source_side_gap_9_11_anchor_split_audit_001.md,1,false,true,false,false,false,false,false,false,false,true,false
construction_ledger,labs/g900_observatory/notes/g900_source_side_gap_9_11_nearest_anchor_selector_audit_001.md,1,false,true,false,false,false,false,false,true,false,true,false
construction_ledger,labs/g900_observatory/notes/g900_transition_length_minimal_origin_audit_001.md,1,false,true,true,false,false,false,false,false,false,false,false
selector_stage,labs/g900_observatory/notes/g900_transport_pair_selector_admission_hypothesis_audit_022.md,22,true,true,false,false,false,true,true,true,true,true,true
construction_ledger,labs/g900_observatory/notes/g900_triplet_gap_law_9_11_audit_001.md,1,false,true,false,false,false,false,false,false,false,true,false
construction_ledger,labs/g900_observatory/notes/g900_triplet_limit_alignment_03_09_root9_audit_001.md,1,false,true,false,false,false,false,false,false,false,true,false
construction_ledger,labs/g900_observatory/receipts/g900_return_cell_channel_preview_boundary_audit_001.v1.json,1,false,true,true,false,false,false,false,false,false,true,false
selector_stage,labs/g900_observatory/receipts/g900_transport_pair_selector_admission_hypothesis_audit_022.v1.json,22,true,true,false,false,false,true,true,true,true,true,false
