selected,segment_role,from_vertex,to_vertex,from_slot,to_slot,from_limit,to_limit,anchor_limit,same_anchor_limit,target_endpoint_anchored,source_endpoint_anchored,source_limit_distance,target_limit_distance,total_limit_distance,edge_id,edge_index,selection_score
False,06_12,6:45,12:45,6,12,45,45,23,False,False,False,22,22,44,tuple_edge_1571,1571,1|1|22|44|1571
False,06_12,6:0,12:0,6,12,0,0,23,False,False,False,23,23,46,tuple_edge_1345,1345,1|1|23|46|1345
False,06_12,6:46,12:46,6,12,46,46,23,False,False,False,23,23,46,tuple_edge_1573,1573,1|1|23|46|1573
False,06_12,6:47,12:47,6,12,47,47,23,False,False,False,24,24,48,tuple_edge_1576,1576,1|1|24|48|1576
False,06_12,6:48,12:48,6,12,48,48,23,False,False,False,25,25,50,tuple_edge_1581,1581,1|1|25|50|1581
False,06_12,6:49,12:49,6,12,49,49,23,False,False,False,26,26,52,tuple_edge_1586,1586,1|1|26|52|1586
False,06_12,6:50,12:50,6,12,50,50,23,False,False,False,27,27,54,tuple_edge_1593,1593,1|1|27|54|1593
False,06_12,6:51,12:51,6,12,51,51,23,False,False,False,28,28,56,tuple_edge_1596,1596,1|1|28|56|1596
False,06_12,6:52,12:52,6,12,52,52,23,False,False,False,29,29,58,tuple_edge_1600,1600,1|1|29|58|1600
False,06_12,6:53,12:53,6,12,53,53,23,False,False,False,30,30,60,tuple_edge_1603,1603,1|1|30|60|1603
False,06_12,6:54,12:54,6,12,54,54,23,False,False,False,31,31,62,tuple_edge_1605,1605,1|1|31|62|1605
False,06_12,6:55,12:55,6,12,55,55,23,False,False,False,32,32,64,tuple_edge_1607,1607,1|1|32|64|1607
False,06_12,6:56,12:56,6,12,56,56,23,False,False,False,33,33,66,tuple_edge_1609,1609,1|1|33|66|1609
False,06_12,6:57,12:57,6,12,57,57,23,False,False,False,34,34,68,tuple_edge_1611,1611,1|1|34|68|1611
False,06_12,6:58,12:58,6,12,58,58,23,False,False,False,35,35,70,tuple_edge_1613,1613,1|1|35|70|1613
False,06_12,6:59,12:59,6,12,59,59,23,False,False,False,36,36,72,tuple_edge_1615,1615,1|1|36|72|1615
False,06_13,6:24,13:24,6,13,24,24,24,True,True,True,0,0,0,tuple_edge_1475,1475,0|0|0|0|1475
False,06_13,6:23,13:23,6,13,23,23,24,False,False,False,1,1,2,tuple_edge_1473,1473,1|1|1|2|1473
False,06_13,6:25,13:25,6,13,25,25,24,False,False,False,1,1,2,tuple_edge_1478,1478,1|1|1|2|1478
False,06_13,6:22,13:22,6,13,22,22,24,False,False,False,2,2,4,tuple_edge_1470,1470,1|1|2|4|1470
False,06_13,6:26,13:26,6,13,26,26,24,False,False,False,2,2,4,tuple_edge_1480,1480,1|1|2|4|1480
False,06_13,6:21,13:21,6,13,21,21,24,False,False,False,3,3,6,tuple_edge_1465,1465,1|1|3|6|1465
False,06_13,6:27,13:27,6,13,27,27,24,False,False,False,3,3,6,tuple_edge_1483,1483,1|1|3|6|1483
False,06_13,6:20,13:20,6,13,20,20,24,False,False,False,4,4,8,tuple_edge_1460,1460,1|1|4|8|1460
False,06_13,6:28,13:28,6,13,28,28,24,False,False,False,4,4,8,tuple_edge_1488,1488,1|1|4|8|1488
