i,source_file,json_path,artifact,artifact_family,key,pair_key,source_endpoints,source_pair,source_root_slot,source_limit_transition,source_inside_failure_proxy,broken_ladder,phase_ladder_values,inside_moving_endpoint,outside_moving_endpoint,anchor,root
75,g900_six_nine_source_geometry_field_origin_inventory_005.v1.json,$.inventory_rows_first_100[75],g900_source_side_gap_9_11_anchor_split_audit_001.v1.json,,,,"[6, 9]",06_09,12,23->24,,,"[3, 6, 9, 12]",6,3,9,
76,g900_six_nine_source_geometry_field_origin_inventory_005.v1.json,$.inventory_rows_first_100[76],g900_source_side_gap_9_11_anchor_split_audit_001.v1.json,,,,"[6, 9]",06_09,12,23->24,,,"[3, 6, 9, 12]",6,3,9,
77,g900_six_nine_source_geometry_field_origin_inventory_005.v1.json,$.inventory_rows_first_100[77],g900_source_side_gap_9_11_anchor_split_audit_001.v1.json,,,,"[6, 9]",06_09,12,23->24,,,"[3, 9, 6, 12]",9,3,6,
78,g900_six_nine_source_geometry_field_origin_inventory_005.v1.json,$.inventory_rows_first_100[78],g900_source_side_gap_9_11_anchor_split_audit_001.v1.json,,,,"[6, 9]",06_09,12,23->24,,,"[3, 9, 6, 12]",9,3,6,
79,g900_six_nine_source_geometry_field_origin_inventory_005.v1.json,$.inventory_rows_first_100[79],g900_source_side_gap_9_11_anchor_split_audit_001.v1.json,,,,"[6, 9]",06_09,12,23->24,,,"[3, 9, 6, 12]",9,3,6,
80,g900_six_nine_source_geometry_field_origin_inventory_005.v1.json,$.inventory_rows_first_100[80],g900_source_side_gap_9_11_anchor_split_audit_001.v1.json,,,,"[6, 9]",06_09,12,23->24,,,"[3, 9, 6, 12]",9,3,6,
81,g900_six_nine_source_geometry_field_origin_inventory_005.v1.json,$.inventory_rows_first_100[81],g900_triplet_limit_alignment_03_09_root9_audit_001.v1.json,,,,"[6, 9]",06_09,12,23->24,,,"[3, 6, 9, 12]",6,3,9,
82,g900_six_nine_source_geometry_field_origin_inventory_005.v1.json,$.nonleaky_full_packet_rows_first_20[0],g900-six-nine-ladder-3-6-9-12-source-derivation-audit-001.v1.json,,,,"[6, 9]",06_09,12,23->24,,"[3, 9, 6, 12]","[3, 6, 9, 12]",9,3,9,
83,g900_six_nine_source_geometry_field_origin_inventory_005.v1.json,$.nonleaky_full_packet_rows_first_20[1],g900-six-nine-ladder-3-6-9-12-source-derivation-audit-001.v1.json,,,,"[6, 9]",06_09,12,23->24,,"[3, 9, 6, 12]","[3, 6, 9, 12]",9,3,9,
84,g900_six_nine_source_geometry_field_origin_inventory_005.v1.json,$.nonleaky_full_packet_rows_first_20[2],g900-six-nine-ladder-3-6-9-12-source-derivation-audit-001.v1.json,,,,"[6, 9]",06_09,12,23->24,,"[3, 9, 6, 12]","[3, 9, 6, 12]",6,3,6,
85,g900_six_nine_source_geometry_field_origin_inventory_005.v1.json,$.nonleaky_full_packet_rows_first_20[3],g900-six-nine-ladder-3-6-9-12-source-derivation-audit-001.v1.json,,,,"[6, 9]",06_09,12,23->24,,"[3, 9, 6, 12]","[3, 9, 6, 12]",6,3,6,
86,g900_six_nine_source_geometry_field_origin_inventory_005.v1.json,$.nonleaky_full_packet_rows_first_20[4],g900_nearest_anchor_rule_all_source_gap_forks_audit_001.v1.json,,,,"[6, 9]",06_09,12,23->24,,,,,,,
87,g900_six_nine_source_geometry_field_origin_inventory_005.v1.json,$.nonleaky_full_packet_rows_first_20[5],g900_nearest_anchor_rule_all_source_gap_forks_audit_001.v1.json,,,,"[6, 9]",06_09,12,23->24,,,,,,,
88,g900_six_nine_source_geometry_field_origin_inventory_005.v1.json,$.nonleaky_full_packet_rows_first_20[6],g900_nearest_anchor_rule_all_source_gap_forks_audit_001.v1.json,,,,"[6, 9]",06_09,12,23->24,,,,,,,
89,g900_six_nine_source_geometry_field_origin_inventory_005.v1.json,$.nonleaky_full_packet_rows_first_20[7],g900_nearest_anchor_rule_all_source_gap_forks_audit_001.v1.json,,,,"[6, 9]",06_09,12,23->24,,,,,,,
90,g900_six_nine_source_geometry_field_origin_inventory_005.v1.json,$.nonleaky_full_packet_rows_first_20[8],g900_nearest_anchor_rule_all_source_gap_forks_audit_001.v1.json,,,,"[6, 9]",06_09,12,23->24,,,,,,,
91,g900_six_nine_source_geometry_field_origin_inventory_005.v1.json,$.nonleaky_full_packet_rows_first_20[9],g900_nearest_anchor_rule_all_source_gap_forks_audit_001.v1.json,,,,"[6, 9]",06_09,12,23->24,,,,,,,
92,g900_six_nine_source_geometry_field_origin_inventory_005.v1.json,$.nonleaky_full_packet_rows_first_20[10],g900_nearest_anchor_rule_all_source_gap_forks_audit_001.v1.json,,,,"[6, 9]",06_09,12,23->24,,,,,,,
93,g900_six_nine_source_geometry_field_origin_inventory_005.v1.json,$.nonleaky_full_packet_rows_first_20[11],g900_nearest_anchor_rule_all_source_gap_forks_audit_001.v1.json,,,,"[6, 9]",06_09,12,23->24,,,,,,,
94,g900_six_nine_source_geometry_field_origin_inventory_005.v1.json,$.nonleaky_full_packet_rows_first_20[12],g900_nearest_anchor_rule_all_source_gap_forks_audit_001.v1.json,,,,"[6, 9]",06_09,12,23->24,,,,,,,
95,g900_six_nine_source_geometry_field_origin_inventory_005.v1.json,$.nonleaky_full_packet_rows_first_20[13],g900_nearest_anchor_rule_all_source_gap_forks_audit_001.v1.json,,,,"[6, 9]",06_09,12,23->24,,,,,,,
96,g900_six_nine_source_geometry_field_origin_inventory_005.v1.json,$.nonleaky_full_packet_rows_first_20[14],g900_nearest_anchor_rule_all_source_gap_forks_audit_001.v1.json,,,,"[6, 9]",06_09,12,23->24,,,,,,,
97,g900_six_nine_source_geometry_field_origin_inventory_005.v1.json,$.nonleaky_full_packet_rows_first_20[15],g900_nearest_anchor_rule_all_source_gap_forks_audit_001.v1.json,,,,"[6, 9]",06_09,12,23->24,,,,,,,
98,g900_six_nine_source_geometry_field_origin_inventory_005.v1.json,$.nonleaky_full_packet_rows_first_20[16],g900_nearest_anchor_rule_all_source_gap_forks_audit_001.v1.json,,,,"[6, 9]",06_09,12,23->24,,,,,,,
99,g900_six_nine_source_geometry_field_origin_inventory_005.v1.json,$.nonleaky_full_packet_rows_first_20[17],g900_nearest_anchor_rule_all_source_gap_forks_audit_001.v1.json,,,,"[6, 9]",06_09,12,23->24,,,,,,,
100,g900_six_nine_source_geometry_field_origin_inventory_005.v1.json,$.nonleaky_full_packet_rows_first_20[18],g900_nearest_anchor_rule_all_source_gap_forks_audit_001.v1.json,,,,"[6, 9]",06_09,12,23->24,,,,,,,
101,g900_six_nine_source_geometry_field_origin_inventory_005.v1.json,$.nonleaky_full_packet_rows_first_20[19],g900_nearest_anchor_rule_all_source_gap_forks_audit_001.v1.json,,,,"[6, 9]",06_09,12,23->24,,,,,,,
102,g900_six_nine_source_geometry_field_origin_inventory_005.v1.json,$.strong_source_packet_rows_first_20[0],g900-six-nine-ladder-3-6-9-12-source-derivation-audit-001.v1.json,,,,"[6, 9]",06_09,12,23->24,,"[3, 9, 6, 12]","[3, 6, 9, 12]",9,3,9,
103,g900_six_nine_source_geometry_field_origin_inventory_005.v1.json,$.strong_source_packet_rows_first_20[1],g900-six-nine-ladder-3-6-9-12-source-derivation-audit-001.v1.json,,,,"[6, 9]",06_09,12,23->24,,"[3, 9, 6, 12]","[3, 6, 9, 12]",9,3,9,
