candidate_index,A,B,C,D,E,role_pairs,unique_hits,miss_reasons
78645,3,4,12,11,7,03_04 04_12 11_12 11_07,3,BC:missing_target_anchor_edge
78647,3,4,12,11,9,03_04 04_12 11_12 11_09,3,BC:missing_target_anchor_edge
78648,3,4,12,11,10,03_04 04_12 11_12 11_10,3,BC:missing_target_anchor_edge
78655,3,4,12,13,6,03_04 04_12 13_12 13_06,3,BC:missing_target_anchor_edge
78657,3,4,12,13,8,03_04 04_12 13_12 13_08,3,BC:missing_target_anchor_edge
78661,3,4,12,13,14,03_04 04_12 13_12 13_14,3,BC:missing_target_anchor_edge
78717,3,4,13,6,0,03_04 04_13 06_13 06_00,3,BC:missing_target_anchor_edge
78718,3,4,13,6,1,03_04 04_13 06_13 06_01,3,BC:missing_target_anchor_edge
78726,3,4,13,6,12,03_04 04_13 06_13 06_12,3,BC:missing_target_anchor_edge
78741,3,4,13,8,2,03_04 04_13 08_13 08_02,3,BC:missing_target_anchor_edge
78749,3,4,13,8,14,03_04 04_13 08_13 08_14,3,BC:missing_target_anchor_edge
78787,3,4,13,12,6,03_04 04_13 12_13 12_06,3,BC:missing_target_anchor_edge
78790,3,4,13,12,9,03_04 04_13 12_13 12_09,3,BC:missing_target_anchor_edge
78792,3,4,13,12,11,03_04 04_13 12_13 12_11,3,BC:missing_target_anchor_edge
78797,3,4,13,14,5,03_04 04_13 14_13 14_05,3,BC:missing_target_anchor_edge
78800,3,4,13,14,8,03_04 04_13 14_13 14_08,3,BC:missing_target_anchor_edge
78802,3,4,13,14,10,03_04 04_13 14_13 14_10,3,BC:missing_target_anchor_edge
78838,3,4,14,5,0,03_04 04_14 05_14 05_00,3,BC:missing_target_anchor_edge
78845,3,4,14,5,10,03_04 04_14 05_14 05_10,3,BC:missing_target_anchor_edge
78873,3,4,14,8,2,03_04 04_14 08_14 08_02,3,BC:missing_target_anchor_edge
78881,3,4,14,8,13,03_04 04_14 08_14 08_13,3,BC:missing_target_anchor_edge
78896,3,4,14,10,5,03_04 04_14 10_14 10_05,3,BC:missing_target_anchor_edge
78898,3,4,14,10,7,03_04 04_14 10_14 10_07,3,BC:missing_target_anchor_edge
78901,3,4,14,10,11,03_04 04_14 10_14 10_11,3,BC:missing_target_anchor_edge
78930,3,4,14,13,6,03_04 04_14 13_14 13_06,3,BC:missing_target_anchor_edge
78932,3,4,14,13,8,03_04 04_14 13_14 13_08,3,BC:missing_target_anchor_edge
78936,3,4,14,13,12,03_04 04_14 13_14 13_12,3,BC:missing_target_anchor_edge
78937,3,5,0,1,2,03_05 05_00 01_00 01_02,3,AB:missing_target_anchor_edge
78939,3,5,0,1,6,03_05 05_00 01_00 01_06,3,AB:missing_target_anchor_edge
78940,3,5,0,1,7,03_05 05_00 01_00 01_07,3,AB:missing_target_anchor_edge
