candidate_kind,source_rail_id,target_rail_id,reason,evidence,admitted_as_channel
boundary_to_slot_internal_incidence,slot_pair_03_08_boundary_carrier,slot_03_internal_carrier,boundary carrier names one endpoint slot carried by this internal carrier,slot_pair=03_08 endpoint_slot=03,False
boundary_to_slot_internal_incidence,slot_pair_03_08_boundary_carrier,slot_08_internal_carrier,boundary carrier names one endpoint slot carried by this internal carrier,slot_pair=03_08 endpoint_slot=08,False
boundary_to_slot_internal_incidence,slot_pair_03_09_boundary_carrier,slot_03_internal_carrier,boundary carrier names one endpoint slot carried by this internal carrier,slot_pair=03_09 endpoint_slot=03,False
boundary_to_slot_internal_incidence,slot_pair_03_09_boundary_carrier,slot_09_internal_carrier,boundary carrier names one endpoint slot carried by this internal carrier,slot_pair=03_09 endpoint_slot=09,False
boundary_to_slot_internal_incidence,slot_pair_04_05_boundary_carrier,slot_04_internal_carrier,boundary carrier names one endpoint slot carried by this internal carrier,slot_pair=04_05 endpoint_slot=04,False
boundary_to_slot_internal_incidence,slot_pair_04_05_boundary_carrier,slot_05_internal_carrier,boundary carrier names one endpoint slot carried by this internal carrier,slot_pair=04_05 endpoint_slot=05,False
boundary_to_slot_internal_incidence,slot_pair_04_09_boundary_carrier,slot_04_internal_carrier,boundary carrier names one endpoint slot carried by this internal carrier,slot_pair=04_09 endpoint_slot=04,False
boundary_to_slot_internal_incidence,slot_pair_04_09_boundary_carrier,slot_09_internal_carrier,boundary carrier names one endpoint slot carried by this internal carrier,slot_pair=04_09 endpoint_slot=09,False
boundary_to_slot_internal_incidence,slot_pair_05_10_boundary_carrier,slot_05_internal_carrier,boundary carrier names one endpoint slot carried by this internal carrier,slot_pair=05_10 endpoint_slot=05,False
boundary_to_slot_internal_incidence,slot_pair_05_10_boundary_carrier,slot_10_internal_carrier,boundary carrier names one endpoint slot carried by this internal carrier,slot_pair=05_10 endpoint_slot=10,False
boundary_to_slot_internal_incidence,slot_pair_05_14_boundary_carrier,slot_05_internal_carrier,boundary carrier names one endpoint slot carried by this internal carrier,slot_pair=05_14 endpoint_slot=05,False
boundary_to_slot_internal_incidence,slot_pair_05_14_boundary_carrier,slot_14_internal_carrier,boundary carrier names one endpoint slot carried by this internal carrier,slot_pair=05_14 endpoint_slot=14,False
boundary_to_slot_internal_incidence,slot_pair_06_12_boundary_carrier,slot_06_internal_carrier,boundary carrier names one endpoint slot carried by this internal carrier,slot_pair=06_12 endpoint_slot=06,False
boundary_to_slot_internal_incidence,slot_pair_06_12_boundary_carrier,slot_12_internal_carrier,boundary carrier names one endpoint slot carried by this internal carrier,slot_pair=06_12 endpoint_slot=12,False
boundary_to_slot_internal_incidence,slot_pair_06_13_boundary_carrier,slot_06_internal_carrier,boundary carrier names one endpoint slot carried by this internal carrier,slot_pair=06_13 endpoint_slot=06,False
boundary_to_slot_internal_incidence,slot_pair_06_13_boundary_carrier,slot_13_internal_carrier,boundary carrier names one endpoint slot carried by this internal carrier,slot_pair=06_13 endpoint_slot=13,False
boundary_to_slot_internal_incidence,slot_pair_07_10_boundary_carrier,slot_07_internal_carrier,boundary carrier names one endpoint slot carried by this internal carrier,slot_pair=07_10 endpoint_slot=07,False
boundary_to_slot_internal_incidence,slot_pair_07_10_boundary_carrier,slot_10_internal_carrier,boundary carrier names one endpoint slot carried by this internal carrier,slot_pair=07_10 endpoint_slot=10,False
boundary_to_slot_internal_incidence,slot_pair_07_11_boundary_carrier,slot_07_internal_carrier,boundary carrier names one endpoint slot carried by this internal carrier,slot_pair=07_11 endpoint_slot=07,False
boundary_to_slot_internal_incidence,slot_pair_07_11_boundary_carrier,slot_11_internal_carrier,boundary carrier names one endpoint slot carried by this internal carrier,slot_pair=07_11 endpoint_slot=11,False
boundary_to_slot_internal_incidence,slot_pair_08_13_boundary_carrier,slot_08_internal_carrier,boundary carrier names one endpoint slot carried by this internal carrier,slot_pair=08_13 endpoint_slot=08,False
boundary_to_slot_internal_incidence,slot_pair_08_13_boundary_carrier,slot_13_internal_carrier,boundary carrier names one endpoint slot carried by this internal carrier,slot_pair=08_13 endpoint_slot=13,False
boundary_to_slot_internal_incidence,slot_pair_08_14_boundary_carrier,slot_08_internal_carrier,boundary carrier names one endpoint slot carried by this internal carrier,slot_pair=08_14 endpoint_slot=08,False
boundary_to_slot_internal_incidence,slot_pair_08_14_boundary_carrier,slot_14_internal_carrier,boundary carrier names one endpoint slot carried by this internal carrier,slot_pair=08_14 endpoint_slot=14,False
boundary_to_slot_internal_incidence,slot_pair_09_11_boundary_carrier,slot_09_internal_carrier,boundary carrier names one endpoint slot carried by this internal carrier,slot_pair=09_11 endpoint_slot=09,False
boundary_to_slot_internal_incidence,slot_pair_09_11_boundary_carrier,slot_11_internal_carrier,boundary carrier names one endpoint slot carried by this internal carrier,slot_pair=09_11 endpoint_slot=11,False
boundary_to_slot_internal_incidence,slot_pair_09_12_boundary_carrier,slot_09_internal_carrier,boundary carrier names one endpoint slot carried by this internal carrier,slot_pair=09_12 endpoint_slot=09,False
boundary_to_slot_internal_incidence,slot_pair_09_12_boundary_carrier,slot_12_internal_carrier,boundary carrier names one endpoint slot carried by this internal carrier,slot_pair=09_12 endpoint_slot=12,False
boundary_to_slot_internal_incidence,slot_pair_10_11_boundary_carrier,slot_10_internal_carrier,boundary carrier names one endpoint slot carried by this internal carrier,slot_pair=10_11 endpoint_slot=10,False
boundary_to_slot_internal_incidence,slot_pair_10_11_boundary_carrier,slot_11_internal_carrier,boundary carrier names one endpoint slot carried by this internal carrier,slot_pair=10_11 endpoint_slot=11,False
boundary_to_slot_internal_incidence,slot_pair_10_14_boundary_carrier,slot_10_internal_carrier,boundary carrier names one endpoint slot carried by this internal carrier,slot_pair=10_14 endpoint_slot=10,False
boundary_to_slot_internal_incidence,slot_pair_10_14_boundary_carrier,slot_14_internal_carrier,boundary carrier names one endpoint slot carried by this internal carrier,slot_pair=10_14 endpoint_slot=14,False
boundary_to_slot_internal_incidence,slot_pair_11_12_boundary_carrier,slot_11_internal_carrier,boundary carrier names one endpoint slot carried by this internal carrier,slot_pair=11_12 endpoint_slot=11,False
boundary_to_slot_internal_incidence,slot_pair_11_12_boundary_carrier,slot_12_internal_carrier,boundary carrier names one endpoint slot carried by this internal carrier,slot_pair=11_12 endpoint_slot=12,False
