candidate_index,A,B,C,D,E,role_pairs,anchors,q_edge_ids,q_sources,q_targets,known_return_cell_slots,known_return_cell_edges
24508,1,0,5,10,14,01_00 00_05 10_05 10_14,23 24 23 24,tuple_edge_783 tuple_edge_2237 tuple_edge_1202 tuple_edge_2587,1:53 0:54 10:23 10:24,0:23 5:24 5:23 14:24,false,false
24547,1,0,5,14,8,01_00 00_05 14_05 14_08,23 24 23 24,tuple_edge_783 tuple_edge_2237 tuple_edge_1203 tuple_edge_2041,1:53 0:54 14:23 14:24,0:23 5:24 5:23 8:24,false,false
24549,1,0,5,14,10,01_00 00_05 14_05 14_10,23 24 23 24,tuple_edge_783 tuple_edge_2237 tuple_edge_1203 tuple_edge_2587,1:53 0:54 14:23 14:24,0:23 5:24 5:23 10:24,false,false
24552,1,0,5,14,13,01_00 00_05 14_05 14_13,23 24 23 24,tuple_edge_783 tuple_edge_2237 tuple_edge_1203 tuple_edge_3292,1:53 0:54 14:23 14:24,0:23 5:24 5:23 13:24,false,false
24658,1,0,6,12,9,01_00 00_06 12_06 12_09,23 24 23 24,tuple_edge_783 tuple_edge_2238 tuple_edge_1472 tuple_edge_2309,1:53 0:54 12:23 12:54,0:23 6:24 6:23 9:24,false,false
24660,1,0,6,12,11,01_00 00_06 12_06 12_11,23 24 23 24,tuple_edge_783 tuple_edge_2238 tuple_edge_1472 tuple_edge_2844,1:53 0:54 12:23 12:54,0:23 6:24 6:23 11:24,false,false
24661,1,0,6,12,13,01_00 00_06 12_06 12_13,23 24 23 24,tuple_edge_783 tuple_edge_2238 tuple_edge_1472 tuple_edge_3071,1:53 0:54 12:23 12:24,0:23 6:24 6:23 13:24,false,false
24668,1,0,6,13,8,01_00 00_06 13_06 13_08,23 24 23 24,tuple_edge_783 tuple_edge_2238 tuple_edge_1473 tuple_edge_2040,1:53 0:54 13:23 13:24,0:23 6:24 6:23 8:24,false,false
24672,1,0,6,13,12,01_00 00_06 13_06 13_12,23 24 23 24,tuple_edge_783 tuple_edge_2238 tuple_edge_1473 tuple_edge_3071,1:53 0:54 13:23 13:24,0:23 6:24 6:23 12:24,false,false
24673,1,0,6,13,14,01_00 00_06 13_06 13_14,23 24 23 24,tuple_edge_783 tuple_edge_2238 tuple_edge_1473 tuple_edge_3292,1:53 0:54 13:23 13:24,0:23 6:24 6:23 14:24,false,false
25884,1,2,3,4,0,01_02 02_03 04_03 04_00,23 24 23 24,tuple_edge_73 tuple_edge_418 tuple_edge_609 tuple_edge_849,1:53 2:54 4:23 4:54,2:23 3:24 3:23 0:24,false,false
25885,1,2,3,4,5,01_02 02_03 04_03 04_05,23 24 23 24,tuple_edge_73 tuple_edge_418 tuple_edge_609 tuple_edge_1041,1:53 2:54 4:23 4:54,2:23 3:24 3:23 5:24,false,false
25889,1,2,3,4,9,01_02 02_03 04_03 04_09,23 24 23 24,tuple_edge_73 tuple_edge_418 tuple_edge_609 tuple_edge_922,1:53 2:54 4:23 4:24,2:23 3:24 3:23 9:24,false,false
25937,1,2,3,8,13,01_02 02_03 08_03 08_13,23 24 23 24,tuple_edge_73 tuple_edge_418 tuple_edge_610 tuple_edge_2040,1:53 2:54 8:53 8:24,2:23 3:24 3:23 13:24,false,false
25938,1,2,3,8,14,01_02 02_03 08_03 08_14,23 24 23 24,tuple_edge_73 tuple_edge_418 tuple_edge_610 tuple_edge_2041,1:53 2:54 8:53 8:24,2:23 3:24 3:23 14:24,false,false
25940,1,2,3,9,4,01_02 02_03 09_03 09_04,23 24 23 24,tuple_edge_73 tuple_edge_418 tuple_edge_611 tuple_edge_922,1:53 2:54 9:23 9:24,2:23 3:24 3:23 4:24,false,false
25946,1,2,3,9,11,01_02 02_03 09_03 09_11,23 24 23 24,tuple_edge_73 tuple_edge_418 tuple_edge_611 tuple_edge_2424,1:53 2:54 9:23 9:54,2:23 3:24 3:23 11:24,false,false
25947,1,2,3,9,12,01_02 02_03 09_03 09_12,23 24 23 24,tuple_edge_73 tuple_edge_418 tuple_edge_611 tuple_edge_2425,1:53 2:54 9:23 9:54,2:23 3:24 3:23 12:24,false,false
26481,1,2,7,10,5,01_02 02_07 10_07 10_05,23 24 23 24,tuple_edge_73 tuple_edge_419 tuple_edge_1758 tuple_edge_1204,1:53 2:54 10:23 10:24,2:23 7:24 7:23 5:24,false,false
26485,1,2,7,10,11,01_02 02_07 10_07 10_11,23 24 23 24,tuple_edge_73 tuple_edge_419 tuple_edge_1758 tuple_edge_2586,1:53 2:54 10:23 10:24,2:23 7:24 7:23 11:24,false,false
26488,1,2,7,10,14,01_02 02_07 10_07 10_14,23 24 23 24,tuple_edge_73 tuple_edge_419 tuple_edge_1758 tuple_edge_2587,1:53 2:54 10:23 10:24,2:23 7:24 7:23 14:24,false,false
26495,1,2,7,11,9,01_02 02_07 11_07 11_09,23 24 23 24,tuple_edge_73 tuple_edge_419 tuple_edge_1759 tuple_edge_2308,1:53 2:54 11:23 11:54,2:23 7:24 7:23 9:24,false,false
