path,artifact_number,construction_class,left_pair_03_09,right_exit_pair_06_13,exact_selector,role_ab_named,role_e_named,relation_claim_language,return_cell,channel,admission,permission,provenance,source,carrier,endpoint,root,phase,ladder,transition,package,support,anchor,fork
labs/g900_observatory/data/g900_channels.v0.1.json,,channel_or_admission,true,true,false,false,false,false,true,true,true,true,false,true,true,false,false,false,false,false,false,false,false,false
labs/g900_observatory/data/g900_discrete_information_transport_contract.v0.1.json,,channel_or_admission,true,true,false,false,false,false,true,true,true,true,false,true,true,false,false,false,true,true,false,false,false,false
labs/g900_observatory/notes/g900_channel_admission_readiness_receipt_001.md,1,channel_or_admission,true,true,false,false,false,false,true,true,true,false,false,false,false,false,false,false,false,true,false,false,false,false
labs/g900_observatory/notes/g900_channel_admission_recheck_after_semantics_001.md,1,channel_or_admission,true,true,false,false,false,false,true,true,true,false,false,false,false,false,false,false,false,true,false,false,false,false
labs/g900_observatory/notes/g900_channel_render_contract_001.md,1,channel_or_admission,true,true,false,false,false,false,true,true,true,false,false,false,false,false,false,false,false,true,false,false,false,false
labs/g900_observatory/notes/g900_channel_semantics_contract_001.md,1,channel_or_admission,true,true,false,false,false,false,true,true,true,false,false,false,false,false,true,false,false,true,false,false,false,false
labs/g900_observatory/notes/g900_discrete_information_transport_contract_001.md,1,channel_or_admission,true,true,false,false,false,false,true,true,true,true,false,true,true,false,false,false,true,true,false,false,false,false
labs/g900_observatory/notes/g900_explicit_return_cell_channel_admission_001.md,1,return_cell,true,true,false,false,false,false,true,true,true,false,false,false,false,false,false,false,false,true,false,false,false,false
labs/g900_observatory/notes/g900_full60_endpoint_pair_hit_inspection_001.md,1,channel_or_admission,true,true,false,false,false,false,false,true,false,false,false,false,false,true,false,true,false,true,true,true,false,false
labs/g900_observatory/notes/g900_full60_hit_pair_g15_subgraph_audit_001.md,1,channel_or_admission,true,true,false,false,false,false,false,true,false,false,false,false,true,true,false,false,false,true,true,false,false,false
labs/g900_observatory/notes/g900_full60_package_support_audit_001.md,1,channel_or_admission,true,true,false,false,false,false,false,true,false,false,false,false,true,false,false,true,false,true,true,true,false,false
labs/g900_observatory/notes/g900_full60_phase_support_classification_001.md,1,channel_or_admission,true,true,false,false,false,false,false,true,true,false,false,false,true,false,false,true,false,true,true,true,false,false
labs/g900_observatory/notes/g900_full60_transition_package_anatomy_001.md,1,channel_or_admission,true,true,false,false,false,false,false,true,true,false,false,false,true,false,true,true,false,true,true,true,false,false
labs/g900_observatory/notes/g900_global_local_return_cell_oriented_census_001.md,1,return_cell,true,true,false,false,false,false,true,true,false,false,false,true,false,false,false,true,false,true,true,false,false,false
labs/g900_observatory/notes/g900_global_return_cell_label_free_selector_audit_001.md,1,return_cell,true,true,false,false,false,false,true,true,false,false,false,false,true,true,true,false,false,true,true,false,false,false
labs/g900_observatory/notes/g900_local_non_pair_identity_transition_length_law_001.md,1,channel_or_admission,true,true,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,true,true,false,false,false
labs/g900_observatory/notes/g900_p7_hinge_return_pocket_source_provenance_audit_001.md,1,channel_or_admission,true,true,false,false,false,false,false,true,false,false,true,true,false,false,true,false,false,true,true,false,false,false
labs/g900_observatory/notes/g900_p7_local_return_cell_closure_law_audit_001.md,1,return_cell,true,true,false,false,false,false,true,true,false,false,false,true,false,true,true,false,false,true,true,false,false,false
labs/g900_observatory/notes/g900_p7_local_return_cell_grammar_audit_001.md,1,return_cell,true,true,false,false,false,false,true,true,false,false,false,false,false,false,true,false,false,true,true,false,false,false
labs/g900_observatory/notes/g900_p7_rhythm_partition_uniqueness_audit_001.md,1,channel_or_admission,true,true,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false
labs/g900_observatory/notes/g900_p7_transition_weight_rhythm_audit_001.md,1,channel_or_admission,true,true,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,true,false,false
labs/g900_observatory/notes/g900_return_cell_carrier_incidence_packet_scout_002.md,2,return_cell,true,true,false,false,false,false,true,true,false,false,false,true,true,true,false,false,false,false,false,false,true,false
labs/g900_observatory/notes/g900_return_cell_channel_admission_criteria_001.md,1,return_cell,true,true,false,false,false,false,true,true,true,false,false,false,false,false,true,false,false,true,false,false,false,false
labs/g900_observatory/notes/g900_return_cell_channel_preview_boundary_audit_001.md,1,return_cell,true,true,false,false,false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false
labs/g900_observatory/notes/g900_return_cell_conserved_packet_scout_001.md,1,return_cell,true,true,false,false,false,false,true,true,false,false,false,true,false,true,false,false,false,false,false,false,false,false
labs/g900_observatory/notes/g900_return_cell_cycle_event_contract_001.md,1,return_cell,true,true,false,false,false,false,true,true,true,false,false,false,false,false,false,false,false,true,false,false,false,false
labs/g900_observatory/notes/g900_return_cell_packet_successor_rule_scout_003.md,3,return_cell,true,true,false,false,false,false,true,true,true,true,false,true,true,true,false,false,false,false,false,false,true,false
labs/g900_observatory/notes/g900_return_cell_selector_field_origin_audit_001.md,1,return_cell,true,true,false,false,false,false,true,true,false,false,false,true,true,true,true,false,false,true,true,false,false,false
labs/g900_observatory/notes/g900_return_cell_transition_length_origin_audit_001.md,1,return_cell,true,true,false,false,false,false,true,true,false,false,false,true,true,true,false,false,false,true,false,false,false,false
labs/g900_observatory/notes/g900_return_cell_transport_theorem_note_011.md,11,return_cell,true,true,false,false,false,false,true,true,true,true,false,true,true,false,false,false,false,false,false,true,true,false
labs/g900_observatory/notes/g900_six_nine_limit_transition_23_24_boundary_probe_001.md,1,channel_or_admission,true,true,false,false,false,false,false,true,true,false,false,true,false,false,false,false,false,true,true,true,false,false
labs/g900_observatory/notes/g900_transition_length_minimal_origin_audit_001.md,1,channel_or_admission,true,true,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,true,true,false,false,false
labs/g900_observatory/receipts/g900_return_cell_channel_preview_boundary_audit_001.v1.json,1,return_cell,true,true,false,false,false,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false
