frontier_index,candidate_index,A,B,C,D,E,role_pairs,q_edge_ids,structural_replay_pass,gate_receipt_status,canonical_cyclic_reflection,canonical_role_reverse,canonical_support_graph,relative_to_C,relative_to_B,slot_delta_signature,edge_delta_signature
58,258839,10,11,12,13,8,10_11 11_12 13_12 13_08,tuple_edge_2584 tuple_edge_2945 tuple_edge_3070 tuple_edge_2040,true,requires_own_future_gate_receipt,0 1 2 3 13,0 1 2 3 13,"((0, 1), (0, 5), (1, 2), (2, 3))",13 14 0 1 11,14 0 1 2 12,1 1 14 10,361 125 -1030
59,258841,10,11,12,13,14,10_11 11_12 13_12 13_14,tuple_edge_2584 tuple_edge_2945 tuple_edge_3070 tuple_edge_3292,true,requires_own_future_gate_receipt,0 1 2 3 4,0 1 2 3 4,"((0, 1), (0, 14), (1, 2), (2, 3))",13 14 0 1 2,14 0 1 2 3,1 1 14 1,361 125 222
60,326476,13,8,3,4,9,13_08 08_03 04_03 04_09,tuple_edge_2038 tuple_edge_613 tuple_edge_609 tuple_edge_922,true,requires_own_future_gate_receipt,0 5 10 9 4,0 5 6 1 11,"((0, 1), (0, 5), (1, 6), (5, 10))",10 5 0 1 6,5 0 10 11 1,10 10 14 5,-1425 -4 313
61,326517,13,8,3,9,4,13_08 08_03 09_03 09_04,tuple_edge_2038 tuple_edge_613 tuple_edge_611 tuple_edge_922,true,requires_own_future_gate_receipt,0 5 10 4 9,0 5 10 4 9,"((0, 5), (0, 6), (1, 6), (1, 11))",10 5 0 6 1,5 0 10 1 11,10 10 9 10,-1425 -2 311
62,334129,13,12,9,3,4,13_12 12_09 03_09 03_04,tuple_edge_3070 tuple_edge_2309 tuple_edge_611 tuple_edge_612,true,requires_own_future_gate_receipt,0 1 4 10 9,0 1 4 10 9,"((0, 1), (0, 6), (6, 9), (9, 10))",4 3 0 9 10,1 0 12 6 7,14 12 6 1,-761 -1698 1
63,334140,13,12,9,4,3,13_12 12_09 04_09 04_03,tuple_edge_3070 tuple_edge_2309 tuple_edge_920 tuple_edge_612,true,requires_own_future_gate_receipt,0 1 4 9 10,0 1 4 9 10,"((0, 1), (0, 10), (6, 7), (7, 10))",4 3 0 10 9,1 0 12 7 6,14 12 5 14,-761 -1389 -308
64,334443,13,12,11,7,10,13_12 12_11 07_11 07_10,tuple_edge_3070 tuple_edge_2844 tuple_edge_1759 tuple_edge_1760,true,requires_own_future_gate_receipt,0 1 2 6 3,0 1 2 6 3,"((0, 1), (0, 11), (1, 2), (11, 14))",2 1 0 11 14,1 0 14 10 13,14 14 4 3,-226 -1085 1
65,334472,13,12,11,10,5,13_12 12_11 10_11 10_05,tuple_edge_3070 tuple_edge_2844 tuple_edge_2584 tuple_edge_1204,true,requires_own_future_gate_receipt,0 1 2 3 8,0 1 2 3 8,"((0, 1), (0, 10), (1, 2), (2, 3))",2 1 0 14 9,1 0 14 13 8,14 14 1 10,-226 -260 -1380
66,334474,13,12,11,10,7,13_12 12_11 10_11 10_07,tuple_edge_3070 tuple_edge_2844 tuple_edge_2584 tuple_edge_1760,true,requires_own_future_gate_receipt,0 1 2 3 6,0 1 2 3 6,"((0, 1), (0, 12), (1, 2), (2, 3))",2 1 0 14 11,1 0 14 13 10,14 14 1 12,-226 -260 -824
67,334477,13,12,11,10,14,13_12 12_11 10_11 10_14,tuple_edge_3070 tuple_edge_2844 tuple_edge_2584 tuple_edge_2587,true,requires_own_future_gate_receipt,0 1 2 3 14,0 1 2 3 14,"((0, 1), (0, 4), (1, 2), (2, 3))",2 1 0 14 3,1 0 14 13 2,14 14 1 4,-226 -260 3
68,345484,14,5,4,3,9,14_05 05_04 03_04 03_09,tuple_edge_1203 tuple_edge_921 tuple_edge_609 tuple_edge_614,true,requires_own_future_gate_receipt,0 6 5 4 10,0 6 5 4 10,"((0, 1), (0, 6), (1, 2), (2, 11))",10 1 0 14 5,9 0 14 13 4,6 14 1 6,-282 -312 5
69,345525,14,5,4,9,3,14_05 05_04 09_04 09_03,tuple_edge_1203 tuple_edge_921 tuple_edge_920 tuple_edge_614,true,requires_own_future_gate_receipt,0 6 5 10 4,0 6 1 2 11,"((0, 1), (0, 5), (1, 10), (5, 14))",10 1 0 5 14,9 0 14 4 13,6 14 10 9,-282 -1 -306
70,350500,14,8,3,4,9,14_08 08_03 04_03 04_09,tuple_edge_2039 tuple_edge_613 tuple_edge_609 tuple_edge_922,true,requires_own_future_gate_receipt,0 6 11 10 5,0 5 6 1 10,"((0, 1), (0, 5), (1, 6), (5, 11))",11 5 0 1 6,6 0 10 11 1,9 10 14 5,-1426 -4 313
71,350541,14,8,3,9,4,14_08 08_03 09_03 09_04,tuple_edge_2039 tuple_edge_613 tuple_edge_611 tuple_edge_922,true,requires_own_future_gate_receipt,0 6 11 5 10,0 5 14 4 10,"((0, 5), (0, 6), (1, 6), (1, 10))",11 5 0 6 1,6 0 10 1 11,9 10 9 10,-1426 -2 311
