root,root_local,label_at_30,dominant_label,dominant_label_count,distinct_label_count,switch_count,compressed_sequence,has_12_to_6,has_6_to_9,has_9_to_12,has_6_12_to_12,has_core_triangle,transition_positions,direct_6_9_boundary_carrier_exists,flanking_6_12_boundary_carrier_exists,flanking_9_12_boundary_carrier_exists,channels_admitted
12:46,46,9,12,36,4,4,6/12 -> 12 -> 6 -> 9 -> 12,True,True,True,True,True,"{""12 -> 6"": [{""from_limit"": 12, ""to_limit"": 13}], ""6 -> 9"": [{""from_limit"": 23, ""to_limit"": 24}], ""6/12 -> 12"": [{""from_limit"": 4, ""to_limit"": 5}], ""9 -> 12"": [{""from_limit"": 32, ""to_limit"": 33}]}",False,True,True,False
12:47,47,9,12,36,4,4,6/12 -> 12 -> 6 -> 9 -> 12,True,True,True,True,True,"{""12 -> 6"": [{""from_limit"": 12, ""to_limit"": 13}], ""6 -> 9"": [{""from_limit"": 23, ""to_limit"": 24}], ""6/12 -> 12"": [{""from_limit"": 4, ""to_limit"": 5}], ""9 -> 12"": [{""from_limit"": 32, ""to_limit"": 33}]}",False,True,True,False
12:48,48,9,12,36,4,4,6/12 -> 12 -> 6 -> 9 -> 12,True,True,True,True,True,"{""12 -> 6"": [{""from_limit"": 12, ""to_limit"": 13}], ""6 -> 9"": [{""from_limit"": 23, ""to_limit"": 24}], ""6/12 -> 12"": [{""from_limit"": 4, ""to_limit"": 5}], ""9 -> 12"": [{""from_limit"": 32, ""to_limit"": 33}]}",False,True,True,False
12:49,49,9,12,36,4,4,6/12 -> 12 -> 6 -> 9 -> 12,True,True,True,True,True,"{""12 -> 6"": [{""from_limit"": 12, ""to_limit"": 13}], ""6 -> 9"": [{""from_limit"": 23, ""to_limit"": 24}], ""6/12 -> 12"": [{""from_limit"": 4, ""to_limit"": 5}], ""9 -> 12"": [{""from_limit"": 32, ""to_limit"": 33}]}",False,True,True,False
12:50,50,9,12,36,4,4,6/12 -> 12 -> 6 -> 9 -> 12,True,True,True,True,True,"{""12 -> 6"": [{""from_limit"": 12, ""to_limit"": 13}], ""6 -> 9"": [{""from_limit"": 23, ""to_limit"": 24}], ""6/12 -> 12"": [{""from_limit"": 4, ""to_limit"": 5}], ""9 -> 12"": [{""from_limit"": 32, ""to_limit"": 33}]}",False,True,True,False
12:51,51,9,12,36,4,4,6/12 -> 12 -> 6 -> 9 -> 12,True,True,True,True,True,"{""12 -> 6"": [{""from_limit"": 12, ""to_limit"": 13}], ""6 -> 9"": [{""from_limit"": 23, ""to_limit"": 24}], ""6/12 -> 12"": [{""from_limit"": 4, ""to_limit"": 5}], ""9 -> 12"": [{""from_limit"": 32, ""to_limit"": 33}]}",False,True,True,False
12:52,52,9,12,36,4,4,6/12 -> 12 -> 6 -> 9 -> 12,True,True,True,True,True,"{""12 -> 6"": [{""from_limit"": 12, ""to_limit"": 13}], ""6 -> 9"": [{""from_limit"": 23, ""to_limit"": 24}], ""6/12 -> 12"": [{""from_limit"": 4, ""to_limit"": 5}], ""9 -> 12"": [{""from_limit"": 32, ""to_limit"": 33}]}",False,True,True,False
12:53,53,9,12,36,4,4,6/12 -> 12 -> 6 -> 9 -> 12,True,True,True,True,True,"{""12 -> 6"": [{""from_limit"": 12, ""to_limit"": 13}], ""6 -> 9"": [{""from_limit"": 23, ""to_limit"": 24}], ""6/12 -> 12"": [{""from_limit"": 4, ""to_limit"": 5}], ""9 -> 12"": [{""from_limit"": 32, ""to_limit"": 33}]}",False,True,True,False
12:54,54,9,12,36,4,4,6/12 -> 12 -> 6 -> 9 -> 12,True,True,True,True,True,"{""12 -> 6"": [{""from_limit"": 12, ""to_limit"": 13}], ""6 -> 9"": [{""from_limit"": 23, ""to_limit"": 24}], ""6/12 -> 12"": [{""from_limit"": 4, ""to_limit"": 5}], ""9 -> 12"": [{""from_limit"": 32, ""to_limit"": 33}]}",False,True,True,False
12:55,55,9,12,36,4,4,6/12 -> 12 -> 6 -> 9 -> 12,True,True,True,True,True,"{""12 -> 6"": [{""from_limit"": 12, ""to_limit"": 13}], ""6 -> 9"": [{""from_limit"": 23, ""to_limit"": 24}], ""6/12 -> 12"": [{""from_limit"": 4, ""to_limit"": 5}], ""9 -> 12"": [{""from_limit"": 32, ""to_limit"": 33}]}",False,True,True,False
12:56,56,9,12,36,4,4,6/12 -> 12 -> 6 -> 9 -> 12,True,True,True,True,True,"{""12 -> 6"": [{""from_limit"": 12, ""to_limit"": 13}], ""6 -> 9"": [{""from_limit"": 23, ""to_limit"": 24}], ""6/12 -> 12"": [{""from_limit"": 4, ""to_limit"": 5}], ""9 -> 12"": [{""from_limit"": 32, ""to_limit"": 33}]}",False,True,True,False
12:57,57,9,12,36,4,4,6/12 -> 12 -> 6 -> 9 -> 12,True,True,True,True,True,"{""12 -> 6"": [{""from_limit"": 12, ""to_limit"": 13}], ""6 -> 9"": [{""from_limit"": 23, ""to_limit"": 24}], ""6/12 -> 12"": [{""from_limit"": 4, ""to_limit"": 5}], ""9 -> 12"": [{""from_limit"": 32, ""to_limit"": 33}]}",False,True,True,False
12:58,58,9,12,36,4,4,6/12 -> 12 -> 6 -> 9 -> 12,True,True,True,True,True,"{""12 -> 6"": [{""from_limit"": 12, ""to_limit"": 13}], ""6 -> 9"": [{""from_limit"": 23, ""to_limit"": 24}], ""6/12 -> 12"": [{""from_limit"": 4, ""to_limit"": 5}], ""9 -> 12"": [{""from_limit"": 32, ""to_limit"": 33}]}",False,True,True,False
12:59,59,9,12,36,4,4,6/12 -> 12 -> 6 -> 9 -> 12,True,True,True,True,True,"{""12 -> 6"": [{""from_limit"": 12, ""to_limit"": 13}], ""6 -> 9"": [{""from_limit"": 23, ""to_limit"": 24}], ""6/12 -> 12"": [{""from_limit"": 4, ""to_limit"": 5}], ""9 -> 12"": [{""from_limit"": 32, ""to_limit"": 33}]}",False,True,True,False
