transition,from_label,to_label,transition_kind,pair_key,count,root_count,root_slot_counts,sample_roots,channels_admitted
5 -> 0,5,0,single_to_single,0/5,18,18,"{""5"": 18}",5:30 5:31 5:40 5:41 5:42 5:43 5:44 5:45 5:46 5:47 5:48 5:49 5:50 5:51 5:52 5:53 5:54 5:55,False
0/4 -> 0,0/4,0,pair_to_single,0/4,16,16,"{""0"": 16}",0:2 0:3 0:4 0:7 0:8 0:9 0:30 0:31 0:32 0:38 0:39 0:40 0:41 0:42 0:48 0:49,False
0/1 -> 0,0/1,0,pair_to_single,0/1,13,13,"{""0"": 13}",0:10 0:11 0:12 0:13 0:14 0:15 0:18 0:19 0:20 0:21 0:22 0:28 0:29,False
0 -> 0/4,0,0/4,single_to_pair,0/4,12,12,"{""0"": 12}",0:2 0:4 0:7 0:9 0:30 0:32 0:38 0:39 0:40 0:42 0:48 0:49,False
1/2 -> 0/1,1/2,0/1,pair_to_pair,0/1/2,10,10,"{""1"": 10}",1:40 1:43 1:44 1:45 1:46 1:50 1:51 1:55 1:58 1:59,False
7 -> 11,7,11,single_to_single,7/11,10,10,"{""11"": 10}",11:12 11:13 11:17 11:18 11:22 11:23 11:27 11:28 11:48 11:53,False
1 -> 1/2,1,1/2,single_to_pair,1/2,8,8,"{""1"": 8}",1:40 1:43 1:45 1:46 1:50 1:51 1:55 1:58,False
1 -> 7,1,7,single_to_single,1/7,8,8,"{""7"": 8}",7:12 7:13 7:17 7:18 7:22 7:23 7:27 7:28,False
0 -> 0/1,0,0/1,single_to_pair,0/1,6,6,"{""0"": 6}",0:18 0:19 0:20 0:22 0:28 0:29,False
4/5 -> 0/5,4/5,0/5,pair_to_pair,0/4/5,5,5,"{""5"": 5}",5:32 5:56 5:57 5:58 5:59,False
3/4 -> 0/4,3/4,0/4,pair_to_pair,0/3/4,4,4,"{""4"": 4}",4:53 4:54 4:56 4:57,False
0 -> 5,0,5,single_to_single,0/5,3,3,"{""5"": 3}",5:43 5:48 5:53,False
2 -> 0,2,0,single_to_single,0/2,2,2,"{""1"": 2}",1:44 1:59,False
4 -> 1,4,1,single_to_single,1/4,1,1,"{""0"": 1}",0:14,False
1 -> 0/1,1,0/1,single_to_pair,0/1,1,1,"{""1"": 1}",1:36,False
3 -> 0,3,0,single_to_single,0/3,1,1,"{""4"": 1}",4:53,False
